,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_vect__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0,10.88644618988037,0.08282570605178,2.5787964344024656,0.0266605167976684,25.76151827078652,5000.0,"{'clf__alpha': 25.76151827078652, 'vect__max_features': 5000}",0.44522,0.4396,0.44118,0.442,0.443,0.4422,0.0018762089435881,15
1,1,10.920072174072263,0.0281372835901443,2.6078642845153808,0.0216064270578331,30.687464784557093,10000.0,"{'clf__alpha': 30.687464784557093, 'vect__max_features': 10000}",0.44694,0.44234,0.4424,0.44442,0.44512,0.444244,0.0017373727291516,1
2,2,10.96491379737854,0.0292852035235587,2.624193572998047,0.0164090008332112,3.694075746829849,10000.0,"{'clf__alpha': 3.6940757468298493, 'vect__max_features': 10000}",0.44528,0.4395,0.4382,0.44062,0.4424,0.4412,0.0024622266345728,18
3,3,10.614742088317872,0.0616679434123389,2.5332368850708007,0.0241824044816662,25.042315298872435,,"{'clf__alpha': 25.042315298872435, 'vect__max_features': None}",0.44604,0.4429,0.4413,0.44414,0.44392,0.44366,0.0015562519076293,4
4,4,10.64778380393982,0.0519018044645293,2.5725142478942877,0.0517581277555533,34.037931710007925,,"{'clf__alpha': 34.037931710007925, 'vect__max_features': None}",0.44544,0.44244,0.44168,0.44244,0.44296,0.442992,0.0012903084902456,7
5,5,10.99895386695862,0.0771653453244016,2.6403831481933597,0.0607999407617474,18.243124289585225,5000.0,"{'clf__alpha': 18.243124289585225, 'vect__max_features': 5000}",0.4452,0.43954,0.44088,0.44128,0.44276,0.441932,0.0019297087863198,16
6,6,11.033209228515624,0.198202695062099,2.633107852935791,0.0371287650376349,14.209220872919614,7000.0,"{'clf__alpha': 14.209220872919614, 'vect__max_features': 7000}",0.44546,0.44008,0.43986,0.44244,0.44408,0.4423839999999999,0.0021918175106518,11
7,7,10.770482969284055,0.0853758410638529,2.604894590377808,0.0286841883342266,9.936238291556847,,"{'clf__alpha': 9.936238291556847, 'vect__max_features': None}",0.44606,0.4408,0.43946,0.44366,0.44374,0.4427439999999999,0.0023405435266194,8
8,8,10.96280345916748,0.0911197699744253,2.6048389434814454,0.025997447284904,39.15352543058817,7000.0,"{'clf__alpha': 39.15352543058817, 'vect__max_features': 7000}",0.44618,0.44142,0.44094,0.44314,0.44518,0.443372,0.0020460928620177,5
9,9,10.98250789642334,0.0458593670053545,2.634085941314697,0.0094011913930222,17.82207183496041,7000.0,"{'clf__alpha': 17.82207183496041, 'vect__max_features': 7000}",0.44552,0.44042,0.4403,0.44276,0.44432,0.442664,0.0020752021588269,9
10,10,11.05556092262268,0.0725171344564021,2.670543384552002,0.0407359008961832,42.84558416556071,10000.0,"{'clf__alpha': 42.84558416556071, 'vect__max_features': 10000}",0.44694,0.44208,0.443,0.44374,0.44468,0.444088,0.0016626051846424,2
11,11,10.96251630783081,0.0476921865652196,2.606052589416504,0.0192672987957003,33.386524650704835,5000.0,"{'clf__alpha': 33.386524650704835, 'vect__max_features': 5000}",0.44494,0.4405,0.44144,0.44206,0.44234,0.4422560000000001,0.0014831533973261,13
12,12,11.068992519378662,0.0827306265978957,2.677124261856079,0.0360270674124598,16.824608272107948,10000.0,"{'clf__alpha': 16.824608272107948, 'vect__max_features': 10000}",0.44672,0.4406,0.4409,0.44346,0.44468,0.443272,0.0023096527877583,6
13,13,10.729079341888427,0.018667127334204,2.5672445774078367,0.0248633392811576,38.08462073384819,,"{'clf__alpha': 38.08462073384819, 'vect__max_features': None}",0.4451,0.4417,0.44144,0.44248,0.44242,0.442628,0.0012998830716645,10
14,14,10.653081274032592,0.0682441543501373,2.566696739196777,0.0409907132652044,20.846260164565603,,"{'clf__alpha': 20.846260164565603, 'vect__max_features': None}",0.44684,0.44266,0.44142,0.44456,0.44422,0.44394,0.0018363877586174,3
15,15,11.071736574172974,0.0529069787833614,2.64349102973938,0.0361810990409704,26.576298873993583,5000.0,"{'clf__alpha': 26.576298873993586, 'vect__max_features': 5000}",0.44536,0.43952,0.44108,0.44208,0.44306,0.44222,0.0019582849639416,14
16,16,11.039698219299316,0.0644865740971491,2.6416371345520018,0.0268573121222555,3.5707914565389736,7000.0,"{'clf__alpha': 3.5707914565389736, 'vect__max_features': 7000}",0.44482,0.44012,0.43848,0.44234,0.4424,0.4416319999999999,0.0021668262505332,17
17,17,10.542589950561524,0.5874697650850929,2.3073076248168944,0.2558460940224825,35.50952376673251,5000.0,"{'clf__alpha': 35.50952376673251, 'vect__max_features': 5000}",0.4451,0.44058,0.44136,0.4422,0.4422,0.442288,0.001529789528007,12
